especie,,
Caiman crocodilus,,
Crocodylus acutus,,
Celestus cyanochloris,,
Celestus hylaius,,
Celestus orobius,,
Coloptychon rhombifer,,
Diploglossus bilobatus,,
Diploglossus monotropis,,
Mesaspis monticola,,
Basiliscus basiliscus,,
Basiliscus plumifrons,,
Basiliscus vittatus,,
Corytophanes cristatus,,
*Ctenonotus cristatellus,,
Dactyloa frenata,,
Dactyloa ibanezi,,
Dactyloa insignis,,
Dactyloa microtus,,
Norops alocomyos,,
Norops altae,,
Norops aquaticus,,
Norops auratus,,
Norops benedikti,,
Norops biporcatus,,
Norops capito,,
Norops carpenteri,,
Norops charlesmyersi ,,
Norops cryptolimifrons,,
Norops cupreus,,
Norops datzorum,,
Norops fungosus,,
Norops humilis,,
Norops intermedius,,
Norops kemptoni,,
Norops leditzygorum ,,
Norops lemurinus,,
Norops limifrons,,
Norops marsupialis,,
Norops monteverde,,
Norops osa,,
Norops oxylophus,,
Norops pachypus,,
Norops pentaprion,,
Norops polylepis,,
Norops quaggulus,,
*Norops sagrei,,
Norops salvini,,
Norops tenoriensis,,
Norops townsendi,,
Norops tropidolepis,,
Norops unilobatus,,
Norops woodi,,
Coleonyx mitratus,,
*Hemidactylus frenatus,,
*Hemidactylus garnotii,,
*Hemidactylus mabouia,,
*Lepidodactylus lugubris,,
Anadia ocellata,,
Bachia blairi,,
Gymnophthalmus speciosus,,
Leposoma southi,,
Potamites apodemus,,
Ptychoglossus plicatus,,
Ctenosaura quinquecarinata,,
Ctenosaura similis,,
Iguana iguana,,
Sceloporus malachiticus,,
Sceloporus squamosus,,
Sceloporus variabilis,,
Phyllodactylus tuberculosus,,
Thecadactylus rapicauda,,
Polychrus gutturosus,,
Marisora unimarginata,,
Mesoscincus managuae,,
Scincella cherriei,,
Gonatodes albogularis,,
Lepidoblepharis xanthostigma,,
Sphaerodactylus graptolaemus,,
Sphaerodactylus homolepis,,
Sphaerodactylus millepunctatus,,
Sphaerodactylus pacificus,,
Holcosus festivus,,
Holcosus leptophrys,,
Holcosus praesignis,,
Holcosus quadrilineatus,,
Holcosus undulatus,,
Aspidoscelis deppeii,,
Lepidophyma flavimaculatum,,
Lepidophyma reticulatum,," Este no lo conozco y no lo encontré en reptil database, talvez mejor preguntarle a Fede. Talvez es como está escrito,"
Anomalepis mexicanus,,
Helminthophis frontalis,,
Liotyphlops albirostris,,
Boa imperator,,
Corallus annulatus,,
Corallus ruschenbergerii,,
Epicrates maurus,,
Ungaliophis panamensis,,
Chironius exoletus,,
Chironius flavopictus,,
Chironius grandisquamis,,
Coluber mentovarius,,
Dendrophidion apharocybe,,
Dendrophidion clarckii,,
Dendrophidion crybelum,,
Dendrophidion paucicarinatum,,
Dendrophidion percarinatum,,
Dendrophidion rufiterminorum,,
Drymarchon melanurus,,
Drymobius margaritiferus,,
Drymobius melanotropis,,
Drymobius rhombifer,,
Lampropeltis abnormal,,
Lampropeltis micropholis,,
Lampropeltis triangulum,,
Leptodrymus pulcherrimus,,
Leptophis ahaetulla,,
Leptophis depressirostris,,
Leptophis mexicanus,,
Leptophis nebulosus,,
Leptophis riveti,,
Mastigodryas melanolomus,,
Oxybelis aeneus,,
Oxybelis brevirostris,,
Oxybelis fulgidus,,
Phrynonax poecilonotus,,
Rhinobothryum bovallii,,
Scaphiodontophis venustissimus,,
Scolecophis atrocinctus,,
Senticolis triaspis,,
Spilotes pullatus,,
Stenorrhina degenhardtii,,
Stenorrhina freminvillii,,
Tantilla alticola,,
Tantilla armillata,,
Tantilla reticulata,,
Tantilla ruficeps,,
Tantilla schistosa,,
Tantilla supracincta,,
Tantilla vermiformis,,
Trimorphodon quadruplex,,
Amastridium veliferum,,
Clelia clelia,,
Clelia equatoriana,,
Clelia scytalina,,
Coniophanes bipunctatus,,
Coniophanes fissidens,,
Coniophanes piceivittus,,
Conophis lineatus,,
Crisantophis nevermanni,,
Dipsas articulata,,
Dipsas bicolor,,
Dipsas tenuissima,,
Enulius flavitorques,,
Enulius sclateri,,
Erythrolamprus bizona,,
Erythrolamprus mimus,,
Geophis brachycephalus,,
Geophis downsi,,
Geophis godmani,,
Geophis hoffmanni,,
Geophis ruthveni,,
Geophis talamancae,,
Geophis zeledoni,,
Hydromorphus concolor,,
Imantodes cenchoa,,
Imantodes gemmistratus,,
Imantodes inornatus,,
Leptodeira annulata,,
Leptodeira nigrofasciata,,
Leptodeira rubricata,,
Leptodeira rhombifera,,
Liophis epinephalus,,
Ninia celata,,
Ninia maculata,,
Ninia psephota,,
Ninia sebae,,
Nothopsis rugosus,,
Oxyrhopus petolarius,,
Rhadinaea calligaster,,
Rhadinaea decorata,,
Rhadinaea godmani,,
Rhadinaea pulveriventris,,
Rhadinaea serperaster,,
Sibon annulatus,,
Sibon anthracops,,
Sibon argus,,
Sibon dimidiatus,,
Sibon lamari,,
Sibon longifrenis,,
Sibon nebulatus,,
Siphlophis compressus,,
Tretanorhinus nigroluteus,,
Trimetopon barbouri,,
Trimetopon gracile,,
Trimetopon pliolepis,,
Trimetopon simile,,
Trimetopon slevini,,
Trimetopon viquezi,,
Tropidodipsas sartorii,,
Urotheca decipiens,,
Urotheca euryzona,,
Urotheca fulviceps,,
Urotheca guentheri,,
Urotheca myersi,,
Urotheca pachyura,,
Xenodon rabdocephalus,,
Thamnophis marcianus,,
Thamnophis proximus,,
Micrurus alleni,,
Micrurus clarki,,
Micrurus mipartitus,,
Micrurus mosquitensis,,
Micrurus nigrocinctus,,
Hydrophis platura,,
Epictia ater,,
Loxocemus bicolor,,
Amerotyphlops costaricensis ,,
Agkistrodon howardgloydi,,
Atropoides mexicanus,,
Atropoides picadoi,,
Bothriechis lateralis,,
Bothriechis nigroviridis,,
Bothriechis nubestris,,
Bothriechis schlegelii,,
Bothriechis supraciliaris,,
Bothrops asper,,
Cerrophidion sasai,,
Crotalus simus,,
Lachesis melanocephala,,
Lachesis stenophris,,
Porthidium nasutum,,
Porthidium ophryomegas,,
Porthidium porrasi,,
Porthidium volcanicum,,
Caretta caretta,,
Chelonia agassizii (Ch. mydas agassizii),,
Chelonia mydas,,
Eretmochelys imbricata,,
Lepidochelys olivacea,,
Chelydra acutirostris,,
Rhinoclemmys annulata,,
Rhinoclemmys funerea,,
Rhinoclemmys pulcherrima,,
Trachemys emolli,,
Trachemys venusta,,
Kinosternon angustipons,,
Kinosternon leucostomum,,
Kinosternon scorpioides,,
